PCF ID,Hierarchy ID,Name,Metrics available?
13337,2.1.2.9,Produce service business plans,N
13338,2.1.2.10,Gain enterprise commitment to service,N
13339,2.1.2.11,Manage service research,N
13340,2.1.2.12,Define service support strategies,N
13341,2.1.2.13,Develop service partnership requirements,N
10065,2.1.3,Perform discovery research,Y
10070,2.1.3.1,Identify new technologies,N
10071,2.1.3.2,Develop new technologies,N
10072,2.1.3.3,Assess feasibility of integrating new leading technologies into product/service concepts,N
10066,2.1.4,Confirm alignment of product/service concepts with business strategy,N
10073,2.1.4.1,Plan and develop cost and quality targets,N
10074,2.1.4.2,Prioritize and select new product/service concepts,N
10075,2.1.4.3,Specify development timing targets,N
10076,2.1.4.4,Plan for product/service offering modifications,N
10067,2.1.5,Manage product and service life cycle,Y
10077,2.1.5.1,Introduce new products/services,N
10078,2.1.5.2,Retire outdated products/services,N
10079,2.1.5.3,Identify and refine performance indicators,N
10062,2.2,Develop products and services,Y
10080,2.2.1,"Design, build, and evaluate products and services",Y
10083,2.2.1.1,Assign resources to product/service project,N
10084,2.2.1.2,Prepare high-level business case and technical assessment,N
10085,2.2.1.3,Develop product/service design specifications,N
10086,2.2.1.4,Document design specifications,N
10087,2.2.1.5,"Conduct mandatory and elective external reviews (legal, regulatory, standards, internal)",N
10088,2.2.1.6,Build prototypes,N
10089,2.2.1.7,Eliminate quality and reliability problems,N
10090,2.2.1.8,Conduct in-house product/service testing and evaluate feasibility,N
10091,2.2.1.9,Identify design/development performance indicators,N
10092,2.2.1.10,Collaborate design with suppliers and contract manufacturers,N
13342,2.2.1.11,Design solution,N
13343,2.2.1.12,Finalize design,N
13344,2.2.1.13,Allocate specific service parameters to services,N
13345,2.2.1.14,Gather and analyze resource information,N
13346,2.2.1.15,Develop network and technology resource strategy and policy,N
13347,2.2.1.16,Establish resource strategy and administration,N
13348,2.2.1.17,Produce resource business plans,N
13349,2.2.1.18,Gain enterprise commitment to resource plans,N
13350,2.2.1.19,Manage resource research,N
13351,2.2.1.20,Define resource support strategies,N
13352,2.2.1.21,Develop resource partnership requirements,N
13353,2.2.1.22,Assess performance of new services against existing services,N
13354,2.2.1.23,Develop detailed service specifications,N
13355,2.2.1.24,Assess new network and technology resources,N
13356,2.2.1.25,Develop detailed resource specifications,N
13357,2.2.1.26,Assess performance of existing resources,N
13358,2.2.2,Qualify product proposal capability,N
13361,2.2.2.1,Determine technical feasibility,N
13362,2.2.2.2,Determine resource availability,N
13363,2.2.2.3,Assess potential for market adoption,N
13359,2.2.3,Calculate and verify business case,N
13360,2.2.4,Hand-over to release planning or development,N
10081,2.2.5,Test market for new or revised products and services,Y
10093,2.2.5.1,Prepare detailed market study,N
10094,2.2.5.2,Conduct customer tests and interviews,N
10095,2.2.5.3,Finalize product/service characteristics and business cases,N
10096,2.2.5.4,Finalize technical requirements,N
10097,2.2.5.5,Identify requirements for changes to manufacturing/delivery processes,N
10082,2.2.6,Prepare for production,Y
10098,2.2.6.1,Develop and test prototype production and/or service delivery process,N
10099,2.2.6.2,Design and obtain necessary materials and equipment,N
10100,2.2.6.3,Install and validate production process or methodology,N
13364,2.2.6.4,Manage service development,N
13365,2.2.6.5,Manage service deployment,N
13366,2.2.6.6,Manage service exit,N
13367,2.2.6.7,Manage resource development,N
13368,2.2.6.8,Manage resource exit,N
13369,2.2.6.9,Define network and technology resource retirement plans,N
13370,2.2.6.10,Define new network and technology resource development plan,N
13371,2.2.6.11,Manage network and technology resources development and retirement plans,N
13372,2.2.6.12,Manage resources deployment,N
13373,2.2.7,Measure success,N
13374,2.2.7.1,Collect and analyze data to assess performance,N
13375,2.2.7.2,Benchmark against proxies,N
13376,2.2.7.3,Assess product success,N
13377,2.3,Service capability delivery,N
13379,2.3.1,Map and analyze service requirements,N
13386,2.3.1.1,Identify service class,N
13387,2.3.1.2,Identify product/service capability,N
13380,2.3.2,Gain service capability investment approval,N
13381,2.3.3,Enable Service support and operations,N
13388,2.3.3.1,Update quoting and configuration tools,N
13389,2.3.3.2,Identify and develop order fulfillment processes,N
13390,2.3.3.3,Identify and develop provisioning processes,N
13391,2.3.3.4,Update billing tables,N
13392,2.3.3.5,Train on new processes,N
13382,2.3.4,Manage handover to service operations,N
13383,2.3.5,Capture service capability shortfalls,N
13384,2.3.6,Design service capabilities,N
13393,2.3.6.1,Define service class capabilities,N
13394,2.3.6.2,Define service forwarding treatment and QoS capabilities,N
13395,2.3.6.3,Define service application to service class mapping capabilities,N
13396,2.3.6.4,Define service provisioning and deployment capabilities,N
13397,2.3.6.5,Define service capacity capabilities,N
13385,2.3.7,Manage service capability delivery,N
13378,2.4,Resource capability delivery,N
13398,2.4.1,Map and analyze resource requirements,N
13408,2.4.1.1,Collate network and technology resource demands,N
13409,2.4.1.2,Manage network and technology resource installation,N
13410,2.4.1.3,Develop network and technology resource distribution plan to meet demand,N
13399,2.4.2,Gain resource capability investment approval,N
13400,2.4.3,Enable resource support and operations,N
13401,2.4.4,Manage deployment and distribution of network and technology resources,N
13402,2.4.5,Manage network and technology resources supply logistics,N
13403,2.4.6,Manage network and technology resources operational enablement,N
13404,2.4.7,Manage handover to resource operations,N
13405,2.4.8,Capture resource capability shortfalls,N
13406,2.4.9,Design resource capabilities,N
13407,2.4.10,Manage resource capability delivery,N
10004,3,Market and Sell Products and Services,Y
10101,3.1,"Understand markets, customers and capabilities",Y
10106,3.1.1,Perform customer and market intelligence analysis,N
10108,3.1.1.1,Conduct customer and market research,N
10109,3.1.1.2,Identify market segments,N
10110,3.1.1.3,Analyze market and industry trends,N
10111,3.1.1.4,"Analyze competing organizations, competitive/substitute products",N
10112,3.1.1.5,Evaluate existing products/brands,N
10113,3.1.1.6,Assess internal and external business environment,N
13411,3.1.1.7,Record usage of services,N
13412,3.1.1.8,Record customer experience,N
10107,3.1.2,Evaluate and prioritize market opportunities,Y
10116,3.1.2.1,Quantify market opportunities,N
10117,3.1.2.2,Determine target segments,N
10118,3.1.2.3,Prioritize opportunities consistent with capabilities and overall business strategy,N
10119,3.1.2.4,Validate opportunities,N
10102,3.2,Develop marketing strategy,Y
11168,3.2.1,Define offering and customer's value proposition,Y
11169,3.2.1.1,Define offering and positioning,N
11170,3.2.1.2,Develop value proposition including brand positioning for target segments,N
11171,3.2.1.3,Validate value proposition and shape offering to optimize with target segments,N
11172,3.2.1.4,Develop new branding,N
10123,3.2.2,Define pricing strategy to align to value proposition,N
10124,3.2.2.1,Establish guidelines for applying pricing of products/services,N
10125,3.2.2.2,Approve pricing strategies/policies,N
10122,3.2.3,Define and manage channel strategy,Y
10126,3.2.3.1,Evaluate channel attributes and partners,N
10127,3.2.3.2,Determine channel fit with target segments,N
10128,3.2.3.3,Select channels for target segments,N
10103,3.3,Develop sales strategy,Y
10129,3.3.1,Develop sales forecast,Y
10134,3.3.1.1,Gather current and historic order information,N
10135,3.3.1.2,Analyze sales trends and patterns,N
10136,3.3.1.3,Generate sales forecast,N
10137,3.3.1.4,Analyze historical and planned promotions and events,N
10130,3.3.2,Develop sales partner/alliance relationships,N
10138,3.3.2.1,Identify alliance opportunities,N
10139,3.3.2.2,Design alliance programs and methods for selecting and managing relationships,N
10140,3.3.2.3,Select alliances,N
10141,3.3.2.4,Develop partner and alliance management strategies,N
10142,3.3.2.5,Establish partner and alliance management goals,N
10131,3.3.3,Establish overall sales budgets,Y
10143,3.3.3.1,Calculate product revenue,N
10144,3.3.3.2,Determine variable costs,N
10145,3.3.3.3,Determine overhead and fixed costs,N
10146,3.3.3.4,Calculate net profit,N
10147,3.3.3.5,Create budget,N
10132,3.3.4,Establish sales goals and measures,N
10133,3.3.5,Establish customer management measures,N
13413,3.3.6,Set service levels and standards,N
13414,3.3.7,Develop channel strategy,N
13416,3.3.7.1,Assess revenue models,N
13417,3.3.7.2,Analyze profit impact based on channel structures,N
13418,3.3.7.3,Plan scenarios,N
13415,3.3.8,Establish revenue/coverage plan,N
13419,3.3.8.1,Develop revenue targets in order to meet revenue objectives,N
13420,3.3.8.2,Plan finances to support revenue objectives,N
13421,3.3.8.3,Develop operational planning to support revenue objectives,N
13422,3.3.8.4,Define account coverage plans to cascade company targets to sales managers,N
13423,3.3.8.5,Leverage all channels in order to cascade company targets to sales managers,N
13424,3.4,Market and manage offer,N
13425,3.4.1,Develop market strategy and policy,N
13430,3.4.1.1,Gather and analyze market information,N
13431,3.4.1.2,Establish market strategy,N
13432,3.4.1.3,Establish market segments,N
13433,3.4.1.4,Link market segments and products,N
13434,3.4.1.5,Gain commitment for market strategy,N
13426,3.4.2,Plan product and offer portfolio,N
13435,3.4.2.1,Gather and analyze product information,N
13436,3.4.2.2,Establish product portfolio strategy,N
13438,3.4.2.3,Produce product portfolio business plans,N
13439,3.4.2.4,Gain commitment to product business plans,N
13427,3.4.3,Deliver product and offer capability,N
13440,3.4.3.1,Define product capability requirements,N
13441,3.4.3.2,Capture product capability shortfalls,N
13442,3.4.3.3,Approve product business case,N
13443,3.4.3.4,Deliver product capability,N
13445,3.4.3.5,Manage handover to product operations,N
13446,3.4.3.6,Manage product capability delivery methodology,N
13428,3.4.4,Deliver marketing capability,N
13447,3.4.4.1,Define marketing capability requirements,N
13448,3.4.4.2,Gain marketing capability approval,N
13449,3.4.4.3,Deliver marketing infrastructure,N
13450,3.4.4.4,Manage handover to marketing operations,N
13451,3.4.4.5,Manage marketing capability delivery methodology,N
13429,3.4.5,Develop and retire product and offer,N
13452,3.4.5.1,Gather and analyze new product ideas,N
13453,3.4.5.2,Assess performance of existing products,N
13454,3.4.5.3,Develop new product business proposals,N
13455,3.4.5.4,Develop product commercialization strategy,N
13456,3.4.5.5,Develop detailed product specifications,N
13457,3.4.5.6,Manage product development,N
10005,4,Deliver Products and Services,Y
10215,4.1,Plan for and acquire necessary resources (Supply Chain Planning),Y
10221,4.1.1,Develop production and materials strategies,N
10229,4.1.1.1,Define manufacturing goals,N
10230,4.1.1.2,Define labor and materials policies,N
10231,4.1.1.3,Define outsourcing policies,N
10232,4.1.1.4,Define manufacturing capital expense policies,N
10233,4.1.1.5,Define capacities,N
10234,4.1.1.6,Define production network and supply constraints,N
10222,4.1.2,Manage demand for products and services,N
10235,4.1.2.1,Develop baseline forecasts,N
10236,4.1.2.2,Collaborate with customers,N
10237,4.1.2.3,Develop consensus forecast,N
10238,4.1.2.4,Allocate available to promise,N
10239,4.1.2.5,Monitor activity against forecast and revise forecast,N
10240,4.1.2.6,Evaluate and revise forecasting approach,N
10241,4.1.2.7,Measure forecast accuracy,Y
10223,4.1.3,Create materials plan,N
10242,4.1.3.1,Create unconstrained plan,N
10243,4.1.3.2,Collaborate with supplier and contract manufacturers,N
10244,4.1.3.3,Identify critical materials and supplier capacity,N
10245,4.1.3.4,Monitor material specifications,N
10246,4.1.3.5,Generate constrained plan,N
10224,4.1.4,Create and manage master production schedule,N
10247,4.1.4.1,Generate site level plan,N
10248,4.1.4.2,Manage work-in-progress inventory,N
10249,4.1.4.3,Collaborate with suppliers,N
10250,4.1.4.4,Generate and execute site schedule,N
10225,4.1.5,Plan distribution requirements,N
10251,4.1.5.1,Allocate available to promise,N
10252,4.1.5.2,Maintain master data,N
10253,4.1.5.3,Determine finished goods inventory requirements at destination,N
10254,4.1.5.4,Calculate requirements at destination,N
10255,4.1.5.5,Calculate consolidation at source,N
10256,4.1.5.6,Manage collaborative replenishment planning,N
10257,4.1.5.7,Manage requirements for partners,N
10258,4.1.5.8,Calculate destination dispatch plan,N
10259,4.1.5.9,Manage dispatch plan attainment,N
10260,4.1.5.10,Calculate destination load plans,N
10261,4.1.5.11,Manage partner load plan,N
10262,4.1.5.12,Manage the cost of supply,N
10253,4.1.5.13,Determine finished goods inventory requirements at destination,N
10226,4.1.6,Establish distribution planning constraints,N
10267,4.1.6.1,Establish distribution center layout constraints,N
10268,4.1.6.2,Establish inventory management constraints,N
10269,4.1.6.3,Establish transportation management constraints,N
10227,4.1.7,Review distribution planning policies,N
10264,4.1.7.1,Review distribution network,N
10265,4.1.7.2,Establish sourcing relationships,N
10266,4.1.7.3,Establish dynamic deployment policies,N
10228,4.1.8,Assess distribution planning performance,N
10270,4.1.8.1,Establish appropriate performance indicators (metrics),N
10271,4.1.8.1,Establish monitoring frequency,N
10272,4.1.8.2,Calculate performance measures,N
10273,4.1.8.3,Identify performance trends,N
10274,4.1.8.4,Analyze performance benchmark gaps,N
10275,4.1.8.5,Prepare appropriate reports,N
10276,4.1.8.6,Develop performance improvement plan,N
10368,4.1.9,Develop quality standards and procedures,N
10371,4.1.9.1,Establish quality targets,N
10372,4.1.9.2,Develop standard testing procedures,N
10373,4.1.9.3,Communicate quality specifications,N
10216,4.2,Procure materials and services,Y
10277,4.2.1,Develop sourcing strategies,Y
10281,4.2.1.1,Develop procurement plan,Y
10282,4.2.1.2,Clarify purchasing requirements,N
10283,4.2.1.3,Develop inventory strategy,N
10284,4.2.1.4,Match needs to supply capabilities,N
10285,4.2.1.5,Analyze company's spend profile,N
10286,4.2.1.6,Seek opportunities to improve efficiency and value,N
10287,4.2.1.7,Collaborate with suppliers to identify sourcing opportunities,N
10278,4.2.2,Select suppliers and develop/maintain contracts,Y
13458,4.2.2.1,Prepare long and mid term source plans,N
13459,4.2.2.2,Develop operational source plans (against forecasts),N
13460,4.2.2.3,Develop inventory strategy,N
13461,4.2.2.4,Identify and analyze potential suppliers,N
13462,4.2.2.5,"Make initial go/no-go decision regarding suppliers, prepare list of preferred suppliers",N
10288,4.2.2.6,Select suppliers,N
10289,4.2.2.7,Certify and validate suppliers,N
10290,4.2.2.8,Negotiate contracts,N
10291,4.2.2.9,Manage contracts,N
13463,4.2.3,Order materials and services (logistics ),N
13467,4.2.3.1,Requisition materials and services,N
13468,4.2.3.2,Manage 'blanket' orders,N
13469,4.2.3.3,Deliver/Receive goods and services,N
13470,4.2.3.4,Prepare invoicing/ make payments,N
13471,4.2.3.5,Manage damaged/ faulty goods and services,N
13472,4.2.3.6,Monitor/Report on suppliers,N
13464,4.2.4,Collaborate with suppliers on design/ development,N
13473,4.2.4.1,Segment or identify products conducive to collaboration with suppliers,N
13474,4.2.4.2,Select appropriate supplier of group for collaboration,N
13475,4.2.4.3,Work collaboratively on design and development of specific goods and services,N
13465,4.2.5,Manage tenders,N
13476,4.2.5.1,Run sourcing mechanism,N
13477,4.2.5.2,Analyze supplier responses/offerings,N
13478,4.2.5.3,Make go /no-go decisions,N
13466,4.2.6,Manage contracts,N
13479,4.2.6.1,Negotiate final contract terms and conditions,N
13480,4.2.6.2,Renegotiate/Optimize existing contracts based on supplier performance,N
13481,4.2.6.3,Perform inventory control after contract period,N
10280,4.2.7,Appraise and develop suppliers,Y
10299,4.2.7.1,Monitor/Manage supplier information,N
10300,4.2.7.2,Prepare/Analyze procurement and vendor performance,N
10301,4.2.7.3,Support inventory and production processes,N
13929,4.2.7.4,Monitor delivery performance of suppliers (check against contractually agreed SLAs),N
10302,4.2.7.5,Monitor quality of product delivered,N
10217,4.3,Produce/Manufacture/Deliver product,Y
10303,4.3.1,Schedule production,N
10306,4.3.1.1,Generate line level plan,N
10307,4.3.1.2,Generate detailed schedule,N
10308,4.3.1.3,Schedule production orders and create lots,N
10309,4.3.1.4,Release production orders and release create lots,N
10304,4.3.2,Produce product,Y
10310,4.3.2.1,Manage raw material inventory,N
10311,4.3.2.2,Execute detailed line schedule,N
10313,4.3.2.3,Rerun defective items,N
10314,4.3.2.4,Assess production performance,N
10305,4.3.3,Schedule and perform maintenance,N
10315,4.3.3.1,Determine process for preventive (planned) maintenance (Preventive Maintenance Orders),N
10316,4.3.3.2,Determine process for requested (unplanned) maintenance (Work Order Cycle),N
10317,4.3.3.3,Execute maintenance,N
10318,4.3.3.4,Calibrate test equipment,N
10319,4.3.3.5,Report maintenance issues,N
10369,4.3.4,Perform quality testing,N
10374,4.3.4.1,Perform testing using the standard testing procedure,Y
10375,4.3.4.2,Record test results,N
10370,4.3.5,Maintain production records and manage lot traceability,N
10376,4.3.5.1,Determine lot numbering system,N
10377,4.3.5.2,Determine lot usage,N
10218,4.4,Deliver service to customer,Y
10320,4.4.1,Confirm specific service requirements for individual customer,N
10324,4.4.1.1,Process customer request,N
10325,4.4.1.2,Create customer profile,N
10326,4.4.1.3,Generate service order,N
10321,4.4.2,Identify and schedule resources to meet service requirements,N
10327,4.4.2.1,Create resourcing plan and schedule,N
10328,4.4.2.2,Create service order fulfillment schedule,N
10329,4.4.2.3,Develop service order,N
13779,4.4.3,Allocate and install resource,N
13789,4.4.3.1,Accept design request for selected product and service,N
13790,4.4.3.2,Identify physical resources,N
13791,4.4.3.3,Identify physical and logical network resources,N
13792,4.4.3.4,Allocate logical or physical network equipment,N
13793,4.4.3.5,Allocate product specific resources,N
13794,4.4.3.6,Deliver resources to site,N
13795,4.4.3.7,Accept resource requests for complex product configurations,N
13796,4.4.3.8,Allocate skills profile to resources,N
10322,4.4.4,Provide the service to specific customers,N
10330,4.4.4.1,Organize daily service order fulfillment schedule,N
10331,4.4.4.2,Dispatch resources,N
10332,4.4.4.3,Manage order fulfillment progress,N
10333,4.4.4.4,Validate order fulfillment block completion,N
13780,4.4.5,Manage workforce,N
10797,4.4.5.1,Post receivable entries,Y
10798,4.4.5.2,Resolve customer billing inquiries,Y
10799,4.4.5.3,Establish AR policies,N
13781,4.4.6,Service activation (provisioning),N
13800,4.4.6.1,Conduct network provisioning,N
13801,4.4.6.2,Update relevant databases,N
13802,4.4.6.3,Trigger end to end activation,N
13803,4.4.6.4,Measure activation process,N
13804,4.4.6.5,Supply service details,N
13805,4.4.6.6,Test service end to end,N
13806,4.4.6.7,Install service,N
13807,4.4.6.8,Configure/Reconfigure service,N
13808,4.4.6.9,Deliver final configuration,N
13809,4.4.6.10,Record configured service details,N
13782,4.4.7,Resource provisioning and activation,N
13810,4.4.7.1,Receive initial configuration requests,N
13811,4.4.7.2,Receive change and termination configuration requests,N
13812,4.4.7.3,Receive activation trouble requests,N
13813,4.4.7.4,Receive additional resource capability request,N
13814,4.4.7.5,Resource request from Supplier/partner,N
13815,4.4.7.6,Configure resource for service instance,N
13816,4.4.7.7,Interact with resource inventory,N
13817,4.4.7.8,Activate network elements,N
13818,4.4.7.9,Test resource provisioning,N
10323,4.4.8,Ensure quality of service,N
10334,4.4.8.1,Identify completed orders for feedback,N
10335,4.4.8.2,Identify incomplete orders and service failures,Y
10336,4.4.8.3,Solicit customer feedback on services delivered,N
10337,4.4.8.4,Process customer feedback on services delivered,N
13783,4.4.9,Manage service quality,N
13819,4.4.9.1,Monitor service quality,N
13820,4.4.9.2,Analyze service quality,N
13821,4.4.9.3,Improve service quality,N
13822,4.4.9.4,Report service quality performance,N
13823,4.4.9.5,Create service performance degradation report,N
13824,4.4.9.6,Track and manage service quality performance resolution,N
13825,4.4.9.7,Close service performance degradation report,N
13784,4.4.10,Manage service problem,N
13826,4.4.10.1,Create service trouble report,N
13827,4.4.10.2,Diagnose service problem,N
13828,4.4.10.3,Correct and resolve service problem,N
13829,4.4.10.4,Track and manage service problem,N
13830,4.4.10.5,Report service problem,N
13831,4.4.10.6,Close service trouble report,N
13832,4.4.10.7,Survey and analyze service problem,N
13785,4.4.11,Manage resource trouble,N
13833,4.4.11.1,Survey and analyze resource trouble,N
13834,4.4.11.2,Localize resource trouble,N
13835,4.4.11.3,Correct and recover resource trouble,N
13836,4.4.11.4,Track and manage resource trouble,N
13837,4.4.11.5,Close resource trouble,N
13838,4.4.11.6,Report resource trouble,N
13839,4.4.11.7,Create resource trouble report,N
13786,4.4.12,Manage resource performance,N
13840,4.4.12.1,Control resource performance,N
13841,4.4.12.2,Analyze resource performance,N
13842,4.4.12.3,Report resource performance,N
13843,4.4.12.4,Monitor resource performance,N
13844,4.4.12.5,Create resource performance degradation report,N
13845,4.4.12.6,Track and manage resource performance degradation resolution,N
13846,4.4.12.7,Close resource performance degradation report,N
10219,4.5,Manage logistics and warehousing,Y
10338,4.5.1,Define logistics strategy,Y
10343,4.5.1.1,Translate customer service requirements into logistics requirements,N
10344,4.5.1.2,Design logistics network,N
10345,4.5.1.3,Communicate outsourcing needs,N
10346,4.5.1.4,Develop and maintain delivery service policy,N
10347,4.5.1.5,Optimize transportation schedules and costs,N
10348,4.5.1.6,Define key performance measures,N
10339,4.5.2,Plan inbound material flow,Y
10349,4.5.2.1,Plan inbound material receipts,N
10350,4.5.2.2,Manage inbound material flow,N
10351,4.5.2.3,Monitor inbound delivery performance,N
10352,4.5.2.4,Manage flow of returned products,N
10340,4.5.3,Operate warehousing,Y
10353,4.5.3.1,Track inventory deployment,N
10354,4.5.3.2,"Receive, inspect, and store inbound deliveries",N
10355,4.5.3.3,Track product availability,N
10356,4.5.3.4,"Pick, pack, and ship product for delivery",N
10358,4.5.3.5,Track third-party logistics storage and shipping performance,N
10359,4.5.3.6,Manage physical finished goods inventory,N
10341,4.5.4,Operate outbound transportation,Y
10360,4.5.4.1,"Plan, transport, and deliver outbound product",N
10361,4.5.4.2,Track carrier delivery performance,N
10362,4.5.4.3,Manage transportation fleet,N
10363,4.5.4.4,Process and audit carrier invoices and documents,N
10342,4.5.5,Manage returns; manage reverse logistics,Y
10364,4.5.5.1,Authorize and process returns,N
10365,4.5.5.2,Perform reverse logistics,N
10366,4.5.5.3,Perform salvage activities,N
10367,4.5.5.4,Manage and process warranty claims,N
13787,4.5.6,Manage warehouse,N
13847,4.5.6.1,Manage warehouse strategy and policy,N
13848,4.5.6.2,Define and manage warehouse storage location layout,N
13849,4.5.6.3,Manage warehouse inventory,N
13850,4.5.6.4,Track and manage physical warehouse inventory,N
13788,4.5.7,Manage physical resource inventory,N
13851,4.5.7.1,Manage physical inventory,N
13852,4.5.7.2,Manage stock transfer,N
13853,4.5.7.3,Manage receipt of goods and services,N
13854,4.5.7.4,Manage goods issue,N
13855,4.5.7.5,Manage inventory strategy and policy,N
13856,4.6,"Manage service, support operation and readiness",N
13860,4.6.1,Manage service inventory,N
13861,4.6.2,Enable service configuration and activation,N
13862,4.6.3,Support service problem management,N
13863,4.6.4,Enable service quality management,N
13876,4.6.4.1,Administer receipt of service content,N
13877,4.6.4.2,Administer service content aggregation,N
13878,4.6.4.3,Administer service content delivery,N
13864,4.6.5,Support service and specific instance rating,N
13857,4.7,"Manage resource, support operation and readiness",N
13865,4.7.1,Support resource trouble management,N
13866,4.7.2,Manage resource inventory,N
13879,4.7.2.1,Monitor and manage resource inventory,N
13880,4.7.2.2,Manage resource inventory count and audits,N
13881,4.7.2.3,Record resource inventory,N
13882,4.7.2.4,Define resource inventory threshold values,N
13883,4.7.2.5,Manage Resource inventory supply and demand variability,N
13858,4.8,Develop and manage supply chain,N
13867,4.8.1,Strategize and plan supply chain,N
