code,examples
922140,"['Correctional institutions, public administration', 'Penitentiaries, public administration', 'Detention centers, public administration', 'Prisons, public administration', 'Jails, public administration']"
485119,"['Commuter cable car systems (i.e., stand-alone)', 'Light rail systems (i.e., stand-alone)', 'Commuter tramway systems (i.e., stand-alone)', 'Monorail transit systems (i.e., stand-alone)', 'Commuter trolley systems (i.e., stand-alone)']"
485113,[]
485112,[]
485111,[]
11299,[]
11292,[]
11293,[]
11291,[]
339991,[]
339993,[]
339992,[]
339995,[]
339994,[]
925110,[]
424920,[]
339999,"['Artificial Christmas trees manufacturing', 'Candles manufacturing', 'Christmas tree ornaments (except glass and electric) manufacturing', 'Cigarette lighters (except precious metal) manufacturing', 'Coin-operated amusement machines (except jukebox) manufacturing', 'Electronic cigarettes manufacturing', 'Hairpieces (e.g., wigs, toupees, wiglets) manufacturing', 'Portable fire extinguishers manufacturing', 'Potpourri manufacturing', 'Tobacco pipes manufacturing', 'Umbrellas manufacturing']"
325320,[]
524298,[]
51821,[]
524292,[]
531120,[]
524291,[]
481219,"['Aircraft charter services (i.e., general purpose aircraft used for a variety of specialty air and flying services)', 'Aviation clubs providing a variety of air transportation activities to the general public']"
532112,[]
481211,[]
481212,[]
532111,[]
325212,[]
325211,[]
311930,[]
52111,[]
424810,[]
56145,[]
56144,[]
445120,[]
4831,[]
337211,[]
337212,[]
4832,[]
4523,[]
337215,[]
531311,[]
32599,"['Activated carbon and charcoal manufacturing', 'Antifreeze preparations manufacturing', 'Custom compounding (i.e., blending and mixing) of purchased plastics resins', 'Electronic cigarette vapor refills manufacturing', 'Industrial salt manufacturing', 'Matches and matchbook manufacturing', 'Photographic chemicals manufacturing', 'Pyrotechnics (e.g., flares, flashlight bombs, signals) manufacturing', 'Sugar substitutes (i.e., synthetic sweeteners blended with other ingredients) made from purchased synthetic sweeteners', 'Swimming pool chemical preparations manufacturing', 'Writing inks manufacturing']"
42499,[]
454310,[]
42494,[]
42495,[]
42322,[]
42491,[]
42492,[]
42321,[]
483212,[]
483211,[]
48541,[]
45311,[]
926130,[]
517911,[]
112330,[]
517919,"['Dial-up Internet service providers', 'VoIP service providers, using client-supplied telecommunications connections', 'Internet service providers using client-supplied telecommunications connections (e.g., dial-up ISPs)', 'Satellite tracking stations']"
6222,[]
6223,[]
6221,[]
623210,[]
112930,[]
44131,[]
44132,[]
111140,[]
713990,[]
48121,"['Air taxi services', 'Nonscheduled air freight transportation services', 'Aircraft charter services', 'Nonscheduled air passenger transportation services']"
62311,[]
45113,[]
451211,[]
524114,[]
451212,[]
3221,[]
541840,"['Newspaper advertising representatives (i.e., independent of media owners)', 'Radio advertising representatives (i.e., independent of media owners)', ""Publishers' advertising representatives (i.e., independent of media owners)"", 'Television advertising representatives (i.e., independent of media owners)']"
524113,[]
3222,[]
44221,[]
33451,[]
44229,"['Bath shops', 'Kitchenware stores', 'Chinaware stores', 'Window treatment stores', 'Glassware stores']"
54199,[]
54194,[]
54192,[]
33521,[]
33522,[]
54191,[]
3321,[]
3322,[]
3323,[]
3324,[]
3325,[]
3326,[]
3327,[]
3328,[]
3329,[]
322291,[]
811191,[]
62221,[]
33231,[]
33232,[]
61151,"['Apprenticeship training programs', 'Graphic arts schools', 'Aviation and flight training schools', 'Modeling schools', 'Computer repair training', 'Nursing schools (except academic)', 'Cosmetology schools', 'Real estate schools', 'Electronic equipment repair training', 'Truck driving schools']"
112111,[]
112112,[]
115310,[]
8141,[]
238210,"['Airport runway lighting contractors', 'Fiber optic cable (except transmission line) contractors', 'Alarm system (e.g., fire, burglar), electric, installation only', 'Highway, street, and bridge lighting and electrical signal installation', 'Audio equipment (except automotive) installation contractors', 'Home automation system installation', 'Lighting system installation', 'Cable television hookup contractors', 'Telecommunications equipment and wiring (except transmission line) installation contractors', 'Computer and network cable installation', 'Traffic signal installation', 'Environmental control system installation', 'Cable splicing, electrical or fiber optic']"
1151,[]
1153,[]
1152,[]
621210,[]
5511,[]
331511,[]
331513,[]
331512,[]
62134,[]
62131,[]
62133,[]
62132,[]
55,[]
54,[]
541430,"['Commercial art studios', 'Independent commercial or graphic artists', 'Corporate identification (i.e., logo) design services', 'Medical art or illustration services', 'Graphic design consulting services']"
325910,[]
53,[]
52,[]
533,[]
532,[]
531,[]
31211,[]
31212,[]
31213,[]
31214,[]
56,[]
238320,"['Bridge painting', 'Paperhanging or removal contractors', 'House painting', 'Ship painting contractors', 'Paint and wallpaper stripping', 'Wallpaper hanging and removal contractors']"
51,[]
541690,"['Agricultural consulting services', 'Motion picture consulting services', 'Biological consulting services', 'Physics consulting services', 'Chemical consulting services', 'Radio consulting services', 'Economic consulting services', 'Safety consulting services', 'Energy consulting services', 'Security consulting services']"
541922,[]
221310,[]
561510,[]
541320,"['Garden planning services', ""Landscape architects' offices"", 'Golf course or ski area design services', 'Landscape consulting services', 'Industrial land use planning services', 'Landscape design services']"
531110,[]
522190,[]
332420,[]
423,[]
425,[]
424,[]
811430,[]
925120,"['Land redevelopment agencies, government', 'Urban planning commissions, government', 'Regional planning and development program administration, public administration', 'Zoning boards and commissions, public administration']"
624190,"['Community action services agencies', 'Marriage counseling services (except by offices of mental health practitioners)', 'Crisis intervention centers', 'Multi-purpose social services centers', 'Family social services agencies', 'Self-help organizations (except for disabled persons, the elderly, persons diagnosed with intellectual and developmental disabilities)', 'Family welfare services', 'Suicide crisis centers', 'Hotline centers', 'Telephone counseling services']"
42472,[]
48849,[]
48841,[]
322110,[]
541213,[]
541211,[]
42471,[]
333912,[]
541214,[]
541219,[]
922150,[]
424310,[]
446110,[]
23819,[]
515210,[]
453110,[]
23813,[]
23812,[]
23815,[]
23814,[]
23817,[]
23816,[]
56111,[]
424950,[]
448190,"['Bridal gown (except custom) shops', 'Leather coat stores', 'Costume shops', 'Lingerie stores', 'Fur apparel stores', 'Swimwear stores', 'Hosiery stores', 'Uniform (except athletic) stores']"
315240,[]
337110,[]
531130,[]
221,[]
2213,[]
2212,[]
2211,[]
336411,[]
336413,[]
336412,[]
488330,"['Docking and undocking marine vessel services', 'Piloting services, water transportation', 'Marine vessel traffic reporting services', 'Tugboat services, harbor operation']"
336414,[]
311230,[]
52231,[]
52232,[]
52239,[]
521110,[]
51121,[]
611710,"['Educational consultants', 'Educational testing services', 'Educational guidance counseling services', 'Student exchange programs', 'Educational testing evaluation services']"
32111,[]
45411,[]
324199,"['Biodiesel fuels not made in petroleum refineries and blended with purchased refined petroleum', 'Coke oven products (e.g., coke, gases, tars) made in coke oven establishments', 'Petroleum briquettes made from refined petroleum', 'Petroleum jelly made from refined petroleum', 'Petroleum waxes made from refined petroleum']"
4512,[]
332313,[]
4511,[]
81149,[]
324191,[]
42313,[]
42312,[]
42311,[]
42314,[]
62412,[]
62411,[]
45322,[]
45321,[]
62419,[]
623990,"['Boot or disciplinary camps (except correctional) for delinquent youth', 'Group homes for the hearing or visually impaired', 'Child group foster homes', 'Halfway group homes for delinquents or ex-offenders', 'Delinquent youth halfway group homes', 'Homes for unwed mothers', 'Group homes for the disabled without nursing care', 'Orphanages']"
522291,"['Finance companies (i.e., unsecured cash loans)', 'Personal credit institutions (i.e., unsecured cash loans)', 'Loan companies (i.e., consumer, personal, student, small)', 'Student loan companies']"
81142,[]
611620,"['Camps, sports instruction', 'Professional sports instructors (i.e., not participating in sporting events)', 'Cheerleading instruction', 'Riding instruction academies or schools', 'Gymnastics instruction', 'Sports (e.g., baseball, basketball, football, golf) instruction', 'Martial arts instruction, camps or schools', 'Swimming instruction']"
339940,[]
112320,[]
6239,[]
488111,[]
6231,[]
488119,[]
6233,[]
6232,[]
112920,[]
48111,"['Air commuter carriers, scheduled', 'Scheduled air passenger carriers', 'Scheduled air cargo carriers (except air couriers)', 'Scheduled helicopter passenger carriers']"
44122,"['Aircraft dealers', 'Motorcycle dealers', 'All-terrain vehicle (ATV) dealers', 'Utility trailer dealers', 'Boat dealers, new and used']"
44121,[]
512240,[]
524128,[]
3259,[]
812910,[]
491110,[]
112210,[]
3251,[]
3252,[]
3253,[]
3254,[]
3255,[]
3256,[]
524127,[]
33421,[]
33422,[]
33429,[]
811,[]
812,[]
813,[]
814,[]
621112,[]
621111,[]
326291,[]
326299,"['Birth control devices (i.e., diaphragms, prophylactics) manufacturing', 'Latex foam rubber manufacturing', 'Reclaiming rubber from waste and scrap', 'Rubber balloons manufacturing', 'Rubber bands manufacturing', 'Rubber floor mats (e.g., door, bath) manufacturing', 'Rubber hair care products (e.g., combs, curlers) manufacturing', 'Rubber tubing manufacturing']"
3333,[]
238990,"['Billboard erection', 'Outdoor swimming pool construction', 'Cleaning building interiors during and immediately after construction', 'Paver, brick (e.g., driveway, patio, sidewalk), installation', 'Crane rental with operator', 'Paving, residential and commercial driveway and parking lot', 'Sandblasting building exteriors', 'Fence installation', 'Scaffold erecting and dismantling', 'Interlocking brick and block installation', 'Steeplejack work', 'Manufactured (mobile) home set up and tie-down work', 'Driveway paving or sealing']"
3331,[]
3336,[]
3335,[]
3334,[]
3339,[]
423860,"['Aircraft merchant wholesalers', 'Railroad cars merchant wholesalers', 'Motorized passenger golf carts merchant wholesalers', 'Ships merchant wholesalers']"
48599,[]
62231,[]
711410,[]
722515,"['Beverage bars', 'Carryout service doughnut shops with on-premises baking', 'Carryout service bagel shops with on-premises baking', 'Carryout service pretzel shops with on-premises baking', 'Carryout service cookie shops with on-premises baking', 'Coffee shops, on-premises brewing', 'Ice cream parlors']"
722514,[]
331210,[]
722511,[]
722513,"['Delicatessen restaurants', 'Pizza delivery shops', 'Family restaurants, limited-service', 'Takeout eating places', 'Fast-food restaurants', 'Fast casual restaurants', 'Takeout sandwich shops', 'Limited-service pizza parlors']"
1129,[]
522298,"['Commodity Credit Corporation', 'Morris Plans (i.e., known as), nondepository', 'Factoring accounts receivable', 'Pawnshops', 'Industrial banks (i.e., known as), nondepository']"
522294,"['Federal Home Loan Mortgage Corporation (FHLMC)', 'Government National Mortgage Association (GNMA)', 'Federal National Mortgage Association (FNMA)', 'Student Loan Marketing Association (SLMA)']"
1121,[]
1122,[]
1123,[]
1124,[]
111150,[]
522292,"['Home equity credit lending', 'Mortgage companies', 'Mortgage banking (i.e., nondepository mortgage lending)']"
522293,"['Agreement corporations (i.e., international trade financing)', 'Export-Import banks', 'Edge Act corporations (i.e., international trade financing)', 'Trade banks (i.e., international trade financing)']"
331529,[]
11133,[]
11132,[]
11131,[]
238190,"['Curtain wall, metal, installation', 'Forms for poured concrete, erecting and dismantling', 'Welding, on-site, contractors', 'Ornamental metal work installation', 'Fire escape installation', 'Decorative steel and wrought iron work installation']"
331523,[]
331524,[]
722410,[]
62121,[]
541910,"['Broadcast media rating services', 'Political opinion polling services', 'Marketing analysis or research services', 'Statistical sampling services', 'Opinion research services']"
561210,[]
524,[]
525,[]
811111,"['Automobile repair garages (except gasoline service stations)', 'General automotive repair shops', 'Automotive engine repair and replacement shops']"
521,[]
237310,"['Airport runway construction', 'Highway line painting', 'Causeway construction', 'Painting traffic lanes or parking lot lines', 'Culverts, highway, road, and street, construction', 'Pothole filling, highway, road, street, or bridge', 'Elevated highway construction', 'Resurfacing, highway, road, street, or bridge', 'Guardrail construction', 'Sign erection, highway, road, street, or bridge']"
523,[]
811118,"['Automotive brake repair shops', 'Automotive radiator repair shops', 'Automotive electrical repair shops', 'Automotive tune-up shops']"
114210,[]
238330,"['Carpet, installation only', 'Resilient floor tile or sheet (e.g., linoleum, rubber, vinyl), installation only', 'Vinyl flooring contractors', 'Resurfacing hardwood flooring', 'Hardwood flooring, installation only', 'Floor laying, scraping, finishing, and refinishing']"
42372,[]
334310,[]
321219,"['Medium density fiberboard (MDF) manufacturing', 'Oriented strandboard (OSB) manufacturing', 'Particleboard manufacturing', 'Reconstituted wood sheets and boards manufacturing', 'Waferboard manufacturing']"
541350,[]
336415,[]
221320,[]
115115,[]
31171,[]
