id,name,status,description,tags
425,Electronic Interfaces with Suppliers,active,"The term ""interface"" can refer to either a hardware connection or a user interface- with the suppliers for route tracking and better demand planning",[]
426,Eligibility & Enrollment,active,,[]
427,Emissions,active,"Continuous emission monitoring systems were historically used as a tool to monitor flue gas for oxygen, carbon monoxide and carbon dioxide to provide information for combustion control in industrial settings",[]
428,Employee Turnover Rate,active,,[]
429,End-of-Arm,active,"End of arm tooling is the extent to which robotic technologies which interact with parts and components are efficient, with the interaction occuring at the end of the robotic arm",[]
430,Energy Efficiencies,active,"Efficient energy use, sometimes simply called energy efficiency, is the goal to reduce the amount of energy required to provide products and services.",[]
431,Engineering,active,"R&D engineers, or research and development engineers, develop new products, redesign existing products, and perform research and testing on product concepts.",[]
432,Enrollment,active,,[]
433,Environmental Protection,active,"Environmental protection is the practice of protecting the natural environment by individuals, organizations and governments.",[]
434,Equipment & Facilities,active,The extent to which physical assets such as equipment and facilities are utilizing sustainable practices,[]
435,eTrading Workbench,active,,[]
436,Evaluate,active,"Risk evaluation is the combined effort of: identifying and analyzing potential events that may negatively impact individuals, assets, and/or the environment; and making judgments ""on the tolerability of the risk on the basis of a risk analysis"" while considering influencing factors.",[]
437,Events,active,Awareness events describes it as a state wherein a subject is aware of some information when that information is directly available to bring to bear in the direction of a wide range of behavioral actions.,[]
438,Exception Handling,active,The extent to which robotics and computing can find exceptinal conditions,[]
439,Exception Resolution,active,"The capability to resolve exceptions (defined as disputes, notifications, questions or requests for additional information) either from a financial institution or on behalf of an account holder of the institution.",[]
440,Excess Products,active,"Excess Product means a Product that, when counted together with all other Products having received by Client under the same Purchase Order, is in excess of the quantities of the Products ordered under that Purchase Order.",[]
441,External Agency,active,,[]
442,External Relations,active,,[]
443,Facilities,active,"A fascilities monitoring system allows the facility managers with complete peace of mind against environmental threats such as temperature, humidity, fluid leaks, pressure, airflow, smoke, and much more.",[]
444,Facility Maintenance,active,Facility management is a professional management discipline focused on the efficient and effective delivery of support services for the organizations that it serves.,[]
445,Factoring,active,,[]
446,FDA,active,,[]
447,FDA Management,active,"The FDA emphasizes the Quality Risk Management approach to design of studies by providing oversight and objective review of risk-benefit analysis that guides the use of new drug products by providing patients organized data and appropriate labeling information in support of the new drug's intended clinical use",[]
448,Feasibility Analysis,active,,[]
449,Field Sales,active,"Field sales, or outside sales, is the process by which companies visit leads and sell to them in person. Field sales representatives typically work for B2B and wholesale organizations whose sales processes rely on relationship-building and long-term contracts.",[]
450,Field Services,active,The extent to which robotics can be utilized for managing resources employed at or en route to the property of clients,[]
451,Finance,active,,[]
452,Finance & Accounting,active,"Financial accounting is the field of accounting concerned with the summary, analysis and reporting of financial transactions related to a business.",[]
453,Financial Accounting,active,,[]
454,Financial Advisory Tools,active,,[]
455,Financial Gateway,active,,[]
456,Financial Institutional Reference Data Management,active,,[]
457,Financial Institutional Valuation Models,active,,[]
458,Financial Instrument Valuation,active,,[]
459,Financial Market Analysis,active,,[]
460,Financial Market Research,active,,[]
461,Financial Message Analysis,active,,[]
462,Finished Goods Inventory,active,The capability to track the number of manufactured products in stock that are available for customers to purchase. The finished goods inventory formula is an important inventory ratio that can be used to calculate the value of these goods for sale.,[]
463,Fixed Asset Turnover,active,,[]
464,Fixed Asset Utilization,active,,[]
465,Fleet Management,active,"Fleet Management is a function which allows companies which rely on transportation in business to remove or minimize the risks associated with vehicle investment, improving efficiency, productivity and reducing their overall transportation and staff costs, providing 100% compliance with government legislation (duty of care) and many more.",[]
466,Forecast & Demand Planning,active,"Customer Demand Planning is a business-planning process that enables sales teams to develop demand forecasts as input to service-planning processes, production, inventory planning and revenue planning. Demand forecasting is a field of predictive analytics which tries to understand and predict customer demand to optimize supply decisions by corporate supply chain and business management",[]
467,Forecast/Leads/Orders (Customer Focus),active,,[]
468,Forecasting,active,The capability to make future predictions based on past and present data and most commonly by analysis of trends.,[]
469,Forklift,active,a vehicle with a pronged device in front for lifting and carrying heavy loads.,[]
470,Foundries,active,The capability to utilize a workshop of workers and machines to cast metal,[]
471,Fraud Case,active,,[]
472,Fraud Detection,active,,[]
473,Fraud Identification,active,,[]
474,Fraud Management,active,,[]
475,Fraud Models,active,,[]
476,Fraud/AML Resolution,active,,[]
477,Full-Time Employees,active,,[]
478,Gap Analysis,active,,[]
479,General Ledger,active,,[]
480,Gesture Recognition,active,"When a sensing device is connected to a computer, along with a sensing device (typically infrared or projector to calulate depth) in order to measure the gesture and execute its correlated command robotically",[]
481,Grasp Planning,active,Utilizing multiple heuristic models to determine the strength and direction with which the robot will make contact with an object,[]
482,Group Billing & Payment Processing,active,,[]
483,Guideline Compliance,active,,[]
484,Handsfree,active,"Healthcare Handsfree are voice controlled virtual assistant, enabling consumers to personally manage their health from the comfort of their home",[]
485,Hazordous Materials Management,active,"Hazardous-waste management, the collection, treatment, and disposal of waste material that, when improperly handled, can cause substantial harm to human health and safety or to the environment.",[]
486,Health,active,"The healthcare sector consists of businesses that provide medical services, manufacture medical equipment or drugs, provide medical insurance, or otherwise facilitate the provision of healthcare to patients.",[]
487,Health & Safety,active,Controlling the risks in the workplace. Identify the hazards. Decide who might be harmed and how. Evaluate the risks and decide on precautions.,[]
488,Health Product Data,active,,[]
489,Health Record Review,active,,[]
490,Heat Transfer/Coolants,active,"here are two types of coolants used to remove the heat from the engine block and head: air, and water. With air as a coolant, the heat is removed through the use of fins attached to the cylinder wall",[]
491,Hedge Fund Administration,active,,[]
492,Hedging,active,"The capability to limit or qualify something utilizing conditions or exceptions, typically to reduce the risk of adverse price movements in an asset.",[]
493,HR Management,active,,[]
494,Human Resources,active,"Human resource planning (HRP) is the continuous process of systematic planning ahead to achieve optimum use of an organization's most valuable asset—quality employees.",[]
495,Identify,active,"Risk identification is the process of determining risks that could potentially prevent the program, enterprise, or investment from achieving its objectives.",[]
496,Improved Organizational Functions: Customer Service,active,,[]
497,Improved Organizational Functions: Product Development,active,,[]
498,Improvement in Asset Utilization (one-time),active,,[]
499,"Improvement in productivity of FTEs who perform  the process ""Budget Administration""",active,,[]
500,"Improvement in productivity of FTEs who perform  the process ""Cost accounting and control and perform cost management""",active,,[]
501,Inbound,active,,[]
502,Inbound Plan & Management,active,Warehouse Inbound Planning is a module within the Advanced Inventory Planning™ solution. It uses a set of parameters and calculations on loaded static and dynamic data sent from Warehouse Replenishment Planning (WRP) to produce a vehicle loading and scheduling plan.,[]
503,Inbound/Receive,active,"The capability to receive, store and distribute the typically raw materials utilized to produce a product",[]
504,Incident Management,active,Incident management is an IT service management (ITSM) process area.,[]
505,Indemnification,active,,[]
506,Indemnification & Compensation,active,,[]
507,Indirect Sales,active,"Indirect sales are the sale of a good or service by a third-party, such as a partner or affiliate, rather than a company's personnel. Indirect sales may be used in conjunction with a company's direct sales efforts or may be used in lieu of hiring sales staff.",[]
508,Industrial Internet of Things (IioT),active,"The extent to which the Internet of Things utilizes industrial extends for industrial applications, including robotics, medical devices, and software-defined production processes.",[]
509,Information & Communications,active,,[]
510,Information Provider Administration,active,,[]
511,Information Provider Operation,active,,[]
512,Informed Consent,active,,[]
513,Infrastructure & Networks,active,"The capability to utilize hardware and software resources of an entire network to enable network connectivity, communication, operations and management of an enterprise network.",[]
514,Infrastructure Management,active,"Infrastructure management is the planning, design, delivery and control of the basic facilities, structures, equipment, services and information technologies that serve as a foundation for economic activity.",[]
515,Infrastructure Set-up,active,,[]
516,Infrastructure-as-a-Service (IaaS),active,"The capability to utilize online services that provide high-level APIs used to dereference various low-level details of underlying network infrastructure like physical computing resources, location, data partitioning, scaling, security, backup etc",[]
517,Initiation,active,,[]
518,In-Silico Profiling,active,,[]
519,Inspection & Testing,active,Inspection and Testing is the testing procedures that electricians use to ensure that a circuit is working correctly and safe for use before being energised.,[]
520,Installation & Reinstatement,active,"When you retire an asset, Asset Management creates all the necessary journal entries to remove the asset's financial information. Retired assets can be reinstated at any time within the system. If the asset is not fully depreciated, depreciation will start up again from the date it is reinstated",[]
521,Insulation,active,Insulation is defined as a material or combination of materials which retard the flow of heat.,[]
522,Insurance Payments,active,,[]
523,Intake,active,,[]
524,Integrated Business Planning,active,"Integrated Business Planning is a process for translating desired business outcomes into financial and operational resource requirements, with the overarching objective of maximizing profit and / or cash flow, while minimizing risk.",[]
525,Integration,active,"Manufacturing Integration, sometimes referred as integrated manufacturing, is a group of organizations or companies that work together in the same industry but specialize in different sectors to complete a finished product. For example, a precision machining and sheet metal company, an injection molding company and a cable and wires company working together to complete one finished electronic product.",[]
526,Interactive Help,active,,[]
527,Interbank Relationship Management,active,,[]
528,Internet of Things (IoT),active,"The extent to which the Internet of Things, or  interrelated computing devices, mechanical, and digital machines have the ability to transfer data over a network without needing human interactions.",[]
529,Inventory,active,"Inventory planning refers to the process that any organization adopts to determine the optimal quantity as well as timing, with the sole aim of aligning such plans with the organization's capacity to produce and make sales.",[]
530,Inventory % Holding Stock,active,,[]
531,Inventory Management,active,"Inventory management is a systematic approach to sourcing, storing, and selling inventory—both raw materials (components) and finished goods (products). In business terms, inventory management means the right stock, at the right levels, in the right place, at the right time, and at the right cost as well as price.",[]
532,Inventory Reservations,active,,[]
533,Inventory Tracking,active,"Inventory tracking is tracking which SKUs you have in your possession, the locations in which you store them, and the quantities available at each location.",[]
534,Inventory Visibility,active,"The capability to have knowledge of what inventory you have on hand, where it is located, at any point in time.",[]
535,Investigational New Drug Application (IND),active,,[]
537,Investment Portfolio Management,active,,[]
538,Investment Strategy,active,,[]
539,Invoice Management,active,"invoice management is the method by which companies track and pay supplier invoices. At its most simple, the process involves receiving an invoice from a third party, validating it as legitimate, paying the supplier, and noting the payment in company records.",[]
540,IoT & Sensors,active,"In an Internet of Things (IoT) ecosystem, two things are very important: the Internet and physical devices like sensors and actuators. The main purpose of sensors is to collect data from the surrounding environment. Sensors, or 'things' of the IoT system, form the front end",[]
541,IoT Platforms & Connectivity,active,"An IoT platform is a multi-layer technology that enables straightforward provisioning, management, and automation of connected devices within the Internet of Things universe",[]
542,IP Management,active,IP address management (IPAM) is a methodology implemented in computer software for planning and managing the assignment and use of IP addresses and closely related resources of a computer network,[]
543,Issued Device Administration,active,,[]
544,Issued Device Tracking,active,,[]
545,IT Management,active,,[]
546,Lab Management,active,,[]
547,Lab Services,active,,[]
548,Labor & Materials,active,"The capability to utilize some builders or repair people contracted to provide and be paid for, rather than a fixed price or a percentage of the costs.",[]
549,Lead/Opportunity Management,active,,[]
550,Leakage Monitoring,active,"The technique of leakage monitoring requires the installation of flowmeters at strategic points throughout the distribution system, each meter recording the flows into a discrete area with a defined and permanent boundary.",[]
551,Leasing Item Administration,active,,[]
552,Legal,active,Law reports or reporters are series of books that contain judicial opinions from a selection of case law decided by courts.,[]
553,Legal & IP Management,active,,[]
554,Letter of Credit,active,,[]
555,"LIFO Reserve ($USD, Historical Rate)",active,,[]
556,Light Load,active,"Light Load AGVS are vehicles which have capacities in the neighborhood of 500 pounds or less and are used to transport small parts, baskets, or other light loads though a light manufacturing environment.",[]
557,Limit & Exposure Management,active,,[]
558,Liquidity Risk Models,active,,[]
559,Load Carrier,active,A pallet or a plastic box for transporting or storing products.,[]
560,Load Management,active,"Load management, also known as demand-side management (DSM), is the process of balancing the supply of electricity on the network with the electrical load by adjusting or controlling the load rather than the power station output.",[]
561,Loan Management,active,"The capability to utilize loan servicing, including sending monthly payment statements, collecting payments, maintaining records of balances, etc.",[]
562,Loan Yield,active,,[]
563,Location Data Management,active,,[]
564,Logistics Planning,active,"Logistic planning is gathering information and putting structures in place to make sure your logistics function can achieve the three rights in the future, in an ongoing fashion. More importantly, it seeks to make certain you have plans in place to deal with disruptions to your supply and transport resources.",[]
565,Loss Reserve Philosophy,active,,[]
566,Lot Tracking & Traceability,active,Lot traceability is a group or “lot” of goods that were made together in the same manufacturing run and produced using the same materials. Traceability allows a factory to track goods along the distribution chain,[]
567,M&A Advisory,active,,[]
568,"Machinery ($USD, Historical rate)",active,,[]
569,Machines,active,Machine monitoring is the process of connecting your machine to the internet to collect and interpret data,[]
570,Machining,active,"Machining is any process in which a cutting tool is used to remove small chips of material from the workpiece (the workpiece is often called the ""work""). The shape of the tool and its penetration into the work surface, combined with these motions, produce the desired shape of the resulting work surface.",[]
571,Maintenance,active,"Quality Maintenance is the sixth pillar of TPM and aims to assure zero defect conditions. It does this by understanding and controlling the process interactions between manpower, material, machines and methods that could enable defects to occur.",[]
572,Maintenance & Repair,active,,[]
573,Maintenance Monitoring,active,The capability to monitor the actual condition of an asset to decide what maintenance needs to be done,[]
574,Maintenance Repair and Operating Supply (MRO),active,"The capability to engage in functional checks, servicing, repairing or replacing of necessary devices, equipment, machinery, building infrastructure, and supporting utilities in industrial, business, governmental, and residential installations.",[]
575,Management Rate of Return (%),active,,[]
576,Manufacture/Production,active,"Manufacturing is the production of products for use or sale using labor and machines, tools, chemical or biological processing or formulation and is the essence of secondary industry",[]
577,Manufacturing Conversion Costs (%),active,,[]
578,Manufacturing Systems,active,"A manufacturing system can be defined as the arrangement and operation of machines, tools, material, people and information to produce a value-added physical, informational or service product whose success and cost is characterized by measurable parameters",[]
579,Manufacturing Viability,active,,[]
580,Market & Economic,active,Economic forecasting is the process of making predictions about the economy.,[]
581,Market & Sell,active,"Selling is an action which converts the product into cash, but marketing is the process of meeting and satisfying the customer needs. Marketing consists of all those activities that are associated with product planning, pricing, promoting and distributing the product or service.",[]
582,Market Analytics/Analysis,active,A market analysis studies the attractiveness and the dynamics of a special market within a special industry.,[]
583,Market Data,active,,[]
584,Market Data Switch Admin,active,,[]
585,Market Data Switch Ops,active,,[]
586,Market Information Management,active,,[]
587,Market Intelligence & Insight,active,"Market intelligence is the gathering of information surrounding a brand's markets.",[]
588,Market Operations,active,,[]
589,Market Plan,active,,[]
590,Market Production Planning,active,"The capability to plan in accordance to market requirements, and is often an ongoing process of identifying and articulating market requirements that define a product's feature set.",[]
591,Market Research,active,,[]
592,Market Risk Models,active,,[]
593,Market Segment Analysis (Includes Competitive Analysis & Market Research),active,,[]
594,Marketing,active,"Marketing is the study and management of exchange relationships. It is the business process of identifying, anticipating and satisfying customers' needs and wants.",[]
595,Marketing & Communications,active,,[]
596,Master Data,active,"The capability to gather and maintain business-critical data that is stored in disparate systems across your enterprise. Typically, these fall into the categories parties, places, things, financial and organizational, reference data",[]
597,Materials Handling,active,Material handling involves short-distance movement within the confines of a building or between a building and a transportation vehicle.,[]
598,Materials Management,active,,[]
599,Materials Planning,active,"Materials Planning has been defined as the scientific way of determining the requirements of raw materials, components and other items needed for production within the economic investment policies. It is rather a sub system in the overall planning activity.

",[]
600,Materials Science,active,"The interdisciplinary field of materials science, also commonly termed materials science and engineering, is the design and discovery of new materials, particularly solids",[]
601,Media Management,active,Media management is seen as a business administration discipline that identifies and describes strategic and operational phenomena and problems in the leadership of media enterprises.,[]
602,Membrane Permeability,active,,[]
603,Merchandising Loan,active,,[]
604,Microbal Screening Systems,active,,[]
605,Mixed Reality,active,,[]
606,Models,active,,[]
607,Monitor,active,"Monitoring have always been critical for managing the ISO 9001:2015 Quality Management System (QMS). These requirements for collecting data are crucial for making sure that your QMS is meeting the requirements you have set for your processes, as well as for your products and services.",[]
608,Monitor & Predictive Alerts,active,Predictive alerting is a technology that predicts events based on historical supply chain process data and accordingly provides alerts on upcoming events,[]
609,Monitor & Revise,active,"The capability to observe, check, or keep a continuous record of demand, and revise outputs as required.",[]
610,Monitor & Visibility,active,Measure travel time and delays on a defined route. Compare travel times between your routes. Identify bottlenecks and traffic congestion on your route. Monitor routes in details thanks to segment-level traffic flow data.,[]
611,Monitor/Track,active,Production Monitoring means an on-site Product Inspection performed every day of your production.,[]
612,Monitoring,active,"The aim of this work package is to ensure the quality of all the tasks performed during the project. It will consist in two principal strands of activity, which are closely related. The first of these is evaluation and the second quality assurance.",[]
613,Monitoring/Sensors,active,"The capability to utilize sensor technologies to monitor equipments, services, operations, etc",[]
614,Monorail Systems,active,"A monorail system is an arrangement of overhead material handling equipment consisting of straight rails, curves and switches providing a means for the transportation of loads along a fixed route between pickup and delivery points.",[]
615,Mortgage Loan,active,,[]
616,Motion Planning,active,The capability to find a sequence of valid configurations that moves the robot from a source point to a destination,[]
617,Move/Deliver,active,,[]
618,Multi-echelon Inventory Optimization,active,The capability to implement an optimzation approach across the end to end supply chain,[]
619,Mutual Fund Administration,active,,[]
620,Nano Materials,active,"Nano manufacturing is both the production of nanoscaled materials, which can be powders or fluids, and the manufacturing of parts ""bottom up"" from nanoscaled materials or ""top down"" in smallest steps for high precision, used in several technologies such as laser ablation, etching and others.",[]
621,Negotiation,active,The capability to engage in a dialogue between two or more people or parties intended to reach a beneficial outcome over one or more issues where a conflict exists with respect to at least one of these issues.,[]
622,Net Asset Turns,active,,[]
623,New Drug Application Review (NDA),active,,[]
624,Non-Performing Loan Ratio,active,,[]
625,Numerical Control,active,"Numerical control (also computer numerical control, and commonly called CNC) is the automated control of machining tools (such as drills, lathes, mills) and 3D printers by means of a computer.",[]
626,Observer Reported Outcome (ObsRO),active,,[]
627,Offer Management,active,"Offer management has become an increasingly important function within the marketing organization, especially as customer channels have proliferated",[]
628,Omnichannel,active,Omni-channel is defined as a multi-channel sales approach that provides the customer with an integrated customer experience.,[]
629,One-Time Reduction in Inventory,active,,[]
630,Online Support,active,"Online Customer Service is defined as any service that helps customers solve problems. This is done by customer support agents, whose primary goal is to assist customers",[]
631,On-site Cranes,active,The TOWER CRANE is a fixed Crane and have to be mounted On-Site. The Tower Crane present itself like a vertical metallic structure having a horizontal boom that can turn over an angle up to 360°.,[]
632,Open Item Management,active,,[]
633,Operational Risk Models,active,,[]
634,Operational Services,active,,[]
635,Operations,active,,[]
636,Operations Control (Includes workflow),active,,[]
637,Operations Optimization,active,Operations Optimization is the process of ensuring that your operations are performing as efficient and effective as possible.,[]
638,Operations Planning,active,,[]
639,Optimization,active,Supply-chain optimization is the application of processes and tools to ensure the optimal operation of a manufacturing and distribution supply chain.,[]
640,Optimize Dispatch,active,"The capability to make the best or most effective use of dispatch and distribution plans, and channels.",[]
641,Order Allocation,active,,[]
642,Order Fill Rate,active,,[]
643,Order Management,active,"Order management is simply the process of efficiently tracking and fulfilling sales orders. It includes the cycle of people, processes, and suppliers to create a positive customer experience. The order management process starts from when a customer places an order, to keeping track of that order until it is fulfilled.",[]
644,Order Validation,active,"A validation order is a court order a company can apply for to 'unfreeze' the company's bank account.",[]
645,Outbound,active,,[]
646,Outbound Plan & Management,active,"outbound planning establishes the minimum-cost daily routes, henceforth called outbound routes (ORs), for delivering the ordered amounts of finished products to customers. This process accrues from the mill's production plan and impacts on the customer order lead time.",[]
647,Outcomes,active,,[]
648,Outcomes & Output Alignment,active,,[]
649,Outcomes & Reporting,active,,[]
650,Outcomes Data,active,,[]
651,Outsourcing Design,active,"The business practice of hiring a party outside a company to perform planning and design of goods/services that traditionally were performed in-house by the company's own employees and staff. Outsourcing is a practice usually undertaken by companies as a cost-cutting measure. As such, it can affect a wide range of jobs, ranging from customer support to manufacturing to the back office.",[]
652,Packaging,active,The extent to which materials used in packaging are sustainable and in line with ecological best practices,[]
653,Packaging Design,active,"Packaging is the science, art and technology of enclosing or protecting products for distribution, storage, sale, and use. Packaging also refers to the process of designing, evaluating, and producing packages.",[]
654,Pallet Design (New Materials),active,"The Pallet Design System™ (PDS) is a product specification tool, an engineering design tool, a professional marketing tool, and an educational tool – all contained in an easy to use software package developed for the wood pallet industry.",[]
655,Pallet Truck,active,"A pallet jack, also known as a pallet truck, pallet pump, pump truck, scooter, dog, or jigger is a tool used to lift and move pallets.",[]
656,Participant Recruitment & Retention,active,,[]
657,Participant Subject Protection,active,,[]
658,Partner,active,"The Salesforce Partner Program enables partners to build and grow successful businesses while delivering customer success. Independent software vendors (ISVs), can build and go-to-market with solutions on AppExchange, the leading enterprise cloud marketplace.",[]
659,Partner Planning,active,"The capability to plan partners, be they strategic alliances, direct investments, subsidiaries, or suppliers, that are critical for materials.",[]
660,Partnership Management,active,"Partnership management is the process of following up on and maintaining effective, productive, and harmonious relationships with partners. It can be as informal as phone calls, e-mails, and social visits or as formal as written, signed agreements that partners review periodically.",[]
661,Party,active,,[]
662,Party Authentication,active,,[]
663,Party Data Management,active,,[]
664,Party Lifecycle Management,active,,[]
665,Patient Profile,active,,[]
666,Patient Reported Outcome (PRO),active,,[]
667,Pattern Recognition,active,"The capability to determine trneds, utilizing technology and AI software",[]
669,Payment & Settlement,active,,[]
670,Payment Initiation,active,,[]
671,Payment Order,active,,[]
672,Payments,active,"The capability to pay source organizations for procuring materials, equipment, etc",[]
673,Payments Execution,active,,[]
674,PEG Ratio,active,,[]
675,Percentage Defective Inventory,active,,[]
676,Perception Systems,active,The capability (either biological or artifical) designed to make inferences about properties of a physical environment based on scenes.,[]
677,Perfect Condition,active,,[]
678,Perfect Order Fulfillment,active,,[]
679,Performance Monitoring,active,"The capability to monitor the condition of an asset (physical, human, etc) to determine effectiveness of performance and extent to supporting strategic vision",[]
680,"Performance Outcome (Motor, Sensory, Cognition)",active,,[]
681,Pharmaceutics,active,,[]
682,Pharmacological Profiling (pharmacodynamics & pharmacokinetics),active,,[]
683,Pharmacovigilance,active,,[]
684,Pharmacovigilance services,active,,[]
685,Pharmacy Drug Packaging & Labeling,active,,[]
686,Pharmacy Management,active,,[]
687,Physical Site Security,active,,[]
688,Physician Information,active,,[]
689,Pick/Pack/Ship,active,"In its simplest form, order fulfillment refers to the entire process of successfully completing customer orders. It includes all the activities from the moment a customer places an order to when they receive the product.",[]
690,Plan/Design,active,"Design inquires into the nature of a problem to conceive a framework for solving that problem. In general, planning is problem solving, while design is problem setting. Where planning focuses on generating a plan—a series of executable actions—design focuses on learning about the nature of an unfamiliar problem.",[]
691,Planning,active,The extent to which planning is supplemented with technology,[]
692,Planning and Scheduling,active,,[]
693,Plans & Budgeting,active,Budgeting is the process of creating a plan to spend money. This spending plan is called a budget. Creating this spending plan allows you to determine in advance whether you will have enough money to do the things you need to do or would like to do. Budgeting is simply balancing expenses with revenue.,[]
694,Plasma Stability,active,,[]
695,Platforms-as-a-Service (PaaS),active,The capability to utilize a cloud computing model in which a third-party provider delivers hardware and software tools -- usually those needed for application development -- to users over the internet.,[]
696,PO Tracking,active,"PO tracking enables you to add customer purchase orders to the system with their balances and expiration dates, link assignments with these customer POs, apply the amounts billed against the PO balances, and obtain online tracking information for the PO balances.",[]
697,Point of Service,active,,[]
698,Policy Admin & Service,active,,[]
699,Policy Administration,active,,[]
700,"Policy Processing (Renewal, Endorsements, Issuance)",active,,[]
701,Polymers,active,The capability to locate and utilize polymer substances needed for 3D printing models,[]
702,Portal,active,,[]
703,Portfolio Strategy,active,,[]
704,Position Keeping,active,,[]
705,Position Management,active,,[]
706,Post Approval Studies,active,,[]
707,Post Surveillance Monitoring,active,,[]
708,Pre-care & Post-care Studies,active,,[]
709,Precision Tooling,active,"Precision tooling is the craft of milling, shaping, deforming, and generally fabricating components to match incredible specifications as defined by no-nonsense computer software, but the profiles of the tools are near infinite.",[]
710,Predict,active,The capability to say or estimate what will be the action or consequence of specific management decisions,[]
711,Predictive,active,"The capability to predict outcomes, based on data and trends",[]
712,Predictive Analytics,active,"Predictive analytics is the branch of the advanced analytics which is used to make predictions about unknown future events. Predictive analytics uses many techniques from data mining, statistics, modeling, machine learning, and artificial intelligence to analyze current data to make predictions about future.",[]
713,Predictive Maintenance,active,Predictive maintenance techniques are designed to help determine the condition of in-service equipment in order to estimate when maintenance should be performed.,[]
714,Predictive Monitoring,active," Predictive monitoring for industrial manufacturing provides a distinction from another sought-after goal — which we will address shortly — predictive maintenance. In the former, using remote asset monitoring, systems allow a company to monitor and observe the behavior of data points over time.",[]
715,Premature Withdrawals,active,,[]
716,Price,active,Forecasting is the process of making predictions of the future based on past and present data and most commonly by analysis of trends,[]
717,Pricing,active,decide the amount required as payment for (something offered for sale).,[]
718,Pricing & Quoting,active,"Price: The calculation of the amount required for payment for the configured product. Examples may be economic benefits, manufacturing costs or even competition's pricing. Quote: Creation of a document that describes the requested products and services, and the price of these.",[]
719,"Pricing, Reserving Analysis",active,,[]
720,Privacy Confidentiality,active,,[]
721,Private Placement,active,,[]
722,PRM Plan,active,,[]
723,Process Analytical Technology (PAT),active,"Process analytical technology has been defined by the United States Food and Drug Administration as a mechanism to design, analyze, and control pharmaceutical manufacturing processes through the measurement of Critical Process Parameters which affect Critical Quality Attributes.",[]
724,Process Design,active,Process design is the choice and sequencing of units for desired physical and/or chemical transformation of materials.,[]
725,Process Monitoring & Measurement,active,process monitoring is an assessment of the process of a program or intervention,[]
726,Process Qualification,active,Process qualification is the qualification of manufacturing and production processes to confirm they are able to operate at a certain standard during sustained commercial manufacturing.,[]
727,Process Verification,active,Process validation is the analysis of data gathered throughout the design and manufacturing of a product in order to confirm that the process can reliably output products of a determined standard. Regulatory authorities like EMA and FDA have published guidelines relating to process validation.,[]
728,Processes,active,Program process monitoring is an assessment of the process of a program or intervention. Process monitoring falls under the overall evaluation of a program. Program evaluation involves answering questions about a social program in a systematic way,[]
729,Procure,active,"The supply chain is the entire process, while procurement is a part of it. Procurement is defined as the process of getting the products and/or services your company needs to fulfill its business model",[]
730,Procurement,active,Procurement planning is the process of identifying and consolidating requirements and determining the timeframes for their procurement with the aim of having them as and when they are required.,[]
731,Procurement Effectiveness,active,,[]
732,Producer Portfolio Analysis,active,,[]
733,Product Broker Agreement,active,,[]
734,Product Combination,active,,[]
735,Product Deployment,active,,[]
736,Product Design,active,,[]
737,Product Development,active,"In business and engineering, new product development covers the complete process of bringing a new product to market",[]
738,Product Directory,active,,[]
739,Product Engineering,active,"Product engineering refers to the process of designing and developing a device, assembly, or system such that it be produced as an item for sale through some production manufacturing process.",[]
740,Product Expert Sales Support,active,,[]
741,Product Inventory Distribution,active,,[]
742,Product Inventory Item Management,active,,[]
743,Product Maintenance,active,,[]
744,Product Management,active,,[]
745,Product Matching,active,,[]
746,Product Quality Assurance,active,,[]
747,Product Release,active,A product release is the process of launching a new product or feature set into the market. Releases can happen frequently (daily or weekly) or just occasionally (quarterly or annually).,[]
748,Product Sales Support,active,,[]
749,Product Service Agency,active,,[]
750,Product Set Rules Capabilities,active,,[]
751,Product Setup & Maintenance,active,,[]
752,Product Tracking,active,,[]
753,Product Training,active,,[]
754,Production,active,"Production is the process of manufacturing modules in a company or industry. It utilizes the resource allocation of activities of employees, materials and production capacity, in order to serve different customers",[]
755,Production Planning,active,"Production planning is the planning of production and manufacturing modules in a company or industry. It utilizes the resource allocation of activities of employees, materials and production capacity, in order to serve different customers",[]
756,Production Process Design,active,"Production processes are designed to produce the required quantity of goods of the desired quality, at the right time, and at minimal costs. Process design helps develop a detailed plan for manufacturing products or services, and provides the foundation and structure for production operations.",[]
757,Production Risk Models,active,,[]
758,Project Finance,active,,[]
759,Promotional Events,active,,[]
760,Promotions,active,"In marketing, promotion refers to any type of marketing communication used to inform or persuade target audiences of the relative merits of a product, service, brand or issue",[]
761,Property Management,active,"Property management is the overseeing of residential, commercial and/or industrial real estate, including apartments, detached houses, condominium units, and shopping centers. It typically involves the managing of property that is owned by another party or entity.",[]
762,Prospect Campaign Design,active,,[]
763,Prospect Campaign Execution,active,,[]
764,Prospect Campaign Management,active,,[]
765,Protocol Design and Development,active,,[]
766,Protocol Review,active,,[]
767,Prototyping,active,"A prototype is an early sample, model, or release of a product built to test a concept or process.",[]
768,Public Affairs Lobbying,active,Lobbying is generally defined as “seeking to influence an elected official on a matter of public policy.”,[]
769,Public Offering,active,,[]
770,Public Reference Data Management,active,,[]
771,Public Relations,active,Public relations is the practice of deliberately managing the release and spread of information between an individual or an organization and the public,[]
