hier_id,name
4.15.3,Corporate Communications
4.15.4,Legal Management
4.15.5,Regulatory Management
4.15.6,Shareholder Relations Management
4.16,Strategy and Planning
4.2,Business Development
4.3,Commercialization
4.4,Communications and PR
4.4.1,Advertising
4.4.2,Brand Management
4.4.3,Communications and PR
4.4.3.1,Market Research
4.4.3.2,Stakeholder and External Relationships Management
4.4.4,Market Research
4.5,"Disaster Recovery, Security and Fraud Management"
4.5.1,Contingency Planning
4.5.2,Fraud Management
4.5.3,Security Management
4.6,Enterprise Planning
4.6.1,Business Development
4.6.2,Business Planning
4.6.3,Enterprise Architecture Planning
4.6.4,Group Enterprise Management
4.7,Enterprise Quality Management
4.7.1,Knowledge Management
4.7.2,Process Architecture
4.8,External Relations
4.9,Financial and Asset Management
4.9.1,Asset Management
4.9.2,Financial Management
4.9.3,Procurement Management
4.9.4,Real Estate Management
5,Customer Relationship Management
5.1,Call Scheduling
5.10,Sales and Channel Management
5.2,Churn Management
5.3,Customer QoS Management
5.4,Invoicing and Collections
5.5,Operations Support
5.6,Order Handling
5.7,Problem Handling
5.8,Retention & Loyalty
5.9,Sales
6,Cyber Security
6.1,Connectivity
6.2,Data Management
6.3,Latency
6.4,Monitoring
6.4.1,AI network security
6.5,Privacy
6.6,Security
6.6.1,Encryption and Authentication
7,Finance and Accounting
7.1,Accounting
7.2,Audit
7.3,"Billing, Collections and Bad Debt"
7.3.1,Group Billing
7.4,Budget Management
7.5,Payments
7.5.1,AP / AR
7.5.2,Commissions
7.5.3,Denials
7.5.4,Payment Processing
7.5.5,Reconciliation
7.5.6,Settlements
7.6,Tax Management
7.7,Treasury Services
7.7.1,Cash Forecasting
7.7.2,Cash Management
7.7.3,Commercial Banking Services
8,Fulfillment
8.1,Customer Engagement
8.1.1,Marketing Fulfillment Response
8.1.2,Order Handling
8.1.3,Retention & Loyalty
8.1.4,Selling
8.2,Resource Management
8.2.1,Provisioning
8.2.1.1,Application
8.2.1.2,Automated Provisioning Services
8.2.1.3,Automated Service Creation
8.2.1.4,Computing
8.2.1.5,Dynamic SLA Creation
8.2.1.6,Network
8.2.1.7,On Demand Service Creation
8.3,Service Management
8.3.1,Activation
8.3.2,Service Configuration
8.4,Supplier / Partner Relationship
8.4.1,Buying
8.4.2,Interface Management
8.4.3,Purchase Order Management
9,Industry Applications 5G
9.1,Education
9.10,Video Streaming
9.10.1,Programmable Video
9.10.2,WebRTC programmable video
9.2,Energy Management
9.2.1,Energy Aware Electronics
9.2.2,Energy Optimization
9.2.3,Universal Power Adapter for Mobile Devices
9.3,Healthcare
9.3.1,Acute Care Coordination
9.3.10,eHealth
9.3.2,Diagnostics
9.3.3,Digital Health Services
9.3.4,Facilities Management
9.3.5,Medical Device Monitoring
9.3.6,Monitoring
9.3.7,RF Emission from ISM Equipment
9.3.8,Remote health check
9.3.9,Telehealth
9.4,Industry Automation
9.5,Real Estate
9.5.1,Commercial
9.5.1.1,3D modeling
9.5.1.2,Building Database
9.5.1.3,Engineering Services
9.5.2,Residential
9.6,Smart City
9.7,Smart Grid
9.7.1,Distributed Network Protocol
9.7.2,Series Grid Critical Infrastructure
9.7.3,Series Interoperability
9.8,Smart Home
9.8.1,Home Networking
9.8.2,LAN/MAN
9.8.3,Series PLC
9.8.4,Smart Energy Profile
9.9,Transportation
9.9.1,Emergency Management System
9.9.2,Self Driving Vehicles
9.9.3,Series Power Line Communications (PLC)
9.9.4,Services Wireless Access Vehicle Environment
